,,,,,,,,,,,,,,New,,,,86.45833333,,,,New,,Updated,New,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intervention details,,,,,,,Scenario 5 with donor-funded interventions fixed,,,,Cost-effectiveness evidence,,,,,,,,,,,,,,,Eligible population and coverage,,,,,,,,,Maximum feasible coverage,,,,,Consumables cost,,,,,,,,,,,,HR Need,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of data,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,NA,Malawi - Final,NA,NA,NA,Uganda - 2021,NA,NA,NA,NA,NA,NA,New columns created to get data from Uganda sheet,,,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - 2016,Malawi - 2016,Malawi - 2016,Uganda - 2021,Malawi - Final 2021, Malawi - Final 2021 ,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - 2016,Uganda - 2021,Malawi - Final,Malawi - Final,,Uganda - 2021,Uganda - 2021,Uganda - 2021,Uganda - 2021,Uganda - 2021,Uganda - 2021,Uganda - 2021,Malawi - 2016,Intermediate step,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - Final,Malawi - 2018,Malawi - 2018,Malawi - 2018,Malawi - 2018,Malawi - 2018,Malawi - 2018,Malawi - 2018,Malawi - 2018,Malawi - 2018,Malawi - 2018,,,,,,,,Extracts from Tufts database for interventions which were not included in the Uganda HBP tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable name for R code,code,category,package,intervention_name_old,int_for_matching,intervention,int_for_matching2,int_for_matching3,level,int_uganda,notes,ce_country,ce_source,who_choice,ce_intervention,ce_comparator,,,,ce_dalys_raw,ce_cost_raw,ce_dalys,ce_cost,ce_icer,update_cost,currency,pop_oldmalawi_cat,pop_oldmalawi_size,pop_oldmalawi_pin,pop_uganda_pin,pop_cat, pop_size ,pop_pin,,pop_cases,feascov_oldmalawi,feascov_uganda,feascov,feascov_source,feascov_min,conscost_uganda_community,conscost_uganda_outreach,conscost_uganda_clinic,conscost_uganda_hospital,conscost_uganda_manual,conscost_uganda_source,conscost_uganda_avg,conscost_oldmalawi,conscost_old,conscost_new,conscost,finalsource,hr_medoff,hr_clinoff,hr_medass,hr_nuroff,hr_nurtech,hr_pharm,hr_pharmtech,hr_pharmass,hr_laboff,hr_labtech,hr_labass,hr_comm,hr_dentoff,hr_dentther,hr_dentass,hr_ment,hr_nutri,hr_radio,hr_radiotech,hr_sono,hr_radiother,donor_funded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descriptive variable name,Intervention code,Category,Intervention Package,Intervention,Cleaned intervention name for matching,Final Intervention name,Intervention name for matching with cost file,Intervention for WFOM match,Level of intervention,Mapping to Uganda tool/2016 EHP tool,Notes,Country,Source,WHO-CHOICE,Name of Intervention in paper,Comparator,DALYs averted per person,Cost per person,Units (cost),DALYs averted per patient,Cost per case (2019 USD),DALYs averted per patient (adjusted),Cost per case (2020 USD) (adjusted),ICER (calculated),Update cost based on currency,Currency,Target population category - Malawi,Target population size_2021,PIN_2021,PIN_2021,Target population category, Target population size_2021 ,PIN_2021,Source of PIN,Eligible cases _2021,Maximum feasible coverage_2021 (demand and supply constraints),Maximum feasible coverage_2020 (demand and supply constraints),Maximum feasible coverage_2021 (demand constraint),Source,Maximum feasible coverage (minimum of 2016/2021 estimate),Community,Outreach,Clinic,Hospital,Cost if manual input,Source if manual entry for cost,"Average Consumables cost across levels (2016), 2019 USD","Consumables cost (2016), 2019 USD",Consumables cost (USD),,,,Medical officer,Clinical Officer,Nurse Officer,Md Wife Tech,Med. Assistant,Pharmacist,Pharm Technician,Pharm Assist,Lab Officer,Lab Technocian,Lab Assist,Community Health Worker,Dental Officer,Dental Therapist,Dental Assistant,Mental Health Staff,Nutrition Staff,Radiographer,Radiography Technician,Sonographer,Radiotherapy Technician,Donor-funded,Status of CE evidence,Status of case numbers,Status of drug costs,Status of HR Need Estimate,Status of drug costs - detailed,Action on previous HBP intervention,RatioID,InterventionPhrase,InterventionParagraph,Comparator,Comparator_type,Country,DALYFinal,DALYinCurrentUSDollars,DALYsAvertedPerPerson,InterventionDirectCosts,ComparatorTotalCosts,TotalCosts,InterventionDirectCostsPerPerson,ComparatorDirectCostsPerPerson,DirectCostsPerPerson,CostQALYText,PrimAuthLastName,PubYear,CurrencyCountry,YearOfCurrency,Title,DALYs averted,Cost,per capita,DALYs averted per patient,Cost per patient,Currency,ICER,Final decision on CE,Further notes on target population and cost
,001,Child Health,ARIs, ICCM Fast breathing Pneumonia treatment (infants), ICCM Fast breathing Pneumonia treatment (infants),ICCM Fast breathing Pneumonia treatment (infants),,,Community,,,,,,,,,,,,,,,,,,,,,,Children 1-12 months," 599,135 ",140%,GBD URI/LRI; https://onlinelibrary.wiley.com/doi/pdf/10.1111/irv.12481,838789,,,47%,Ng'ambi 2020 child,47%,,,,,,,,,,1.072464,1.072464,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,Child Health,ARIs,IMCI Pneumonia treatment (children),IMCI Pneumonia treatment (children),Community-based management of neonatal pneumonia,,Community-based intervention,Community,,,Multiple Countries,Adam(2005);Cost effectiveness analysis of strategies for maternal and neonatal health in developing countries,per capita,Community based management of neonatal pneumonia,,,,,0.010288069,0.010288069,0.061392164,0.02780288,0.453,Yes,2000 Int$,,,,,Children 1-59 months," 2,289,849 ",140%,GBD URI/LRI; https://onlinelibrary.wiley.com/doi/pdf/10.1111/irv.12481,3205788.6,87.00%,,47%,Ng'ambi 2020 child,47%,,,,,,,,,,12.4352772,12.4352772,New Malawi estimate (2021),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,No,Complete,Complete,Complete,Complete,Incomplete,,2005-01-00265-01,Community based management of neonatal pneumonia,Community based management of neonatal pneumonia (95%),,None,Multiple Countries,1,1.50296748,0,0,0,0,0,0,0,0,Adam,2005,United States,2000,Cost effectiveness analysis of strategies for maternal and neonatal health in developing countries,1000000,1000000,per capita,0.010288069,0.010288069,2000 Int $,,,
,003,Child Health,ARIs,IMCI Pneumonia treatment (children),IMCI Pneumonia treatment (children),IMCI Pneumonia treatment (children),,,Primary,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",140%,GBD URI/LRI; https://onlinelibrary.wiley.com/doi/pdf/10.1111/irv.12481,3205788.6,,,47%,Ng'ambi 2020 child,47%,,,,,,,,,,12.4352772,12.4352772,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,Child Health,ARIs,IMCI Pneumonia treatment (children >5years),IMCI Pneumonia treatment (children >5years),IMCI Pneumonia treatment (children >5years),,,Primary,,,,,,,,,,,,,,,,,,,,,,Children 5-14 years," 5,619,431 ",140%,GBD URI/LRI; https://onlinelibrary.wiley.com/doi/pdf/10.1111/irv.12481,7867203.4,,,47%,Ng'ambi 2020 child,47%,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,Child Health,ARIs,IMCI Treatment of severe pneumonia,IMCI Treatment of severe pneumonia,IMCI Treatment of severe pneumonia,,,Secondary,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",1%,GBD LRI,27478.188,,,60%,Ng'ambi 2020 child/+increase for severity,60%,,,,,,,,,,21.7611576,21.7611576,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,Child Health,ARIs,IMCI Treatment of severe pneumonia,IMCI Treatment of severe pneumonia,IMCI Treatment of severe pneumonia,,,Teritary,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",1%,GBD LRI,27478.188,,,60%,Ng'ambi 2020 child/+increase for severity,60%,,,,,,,,,,21.7611576,21.7611576,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
